Cluster Status,סטטוס צביר
English,Hebrew
About,אודות
Actual,בפועל
Actual Cost,עלות בפועל
Actual Expense,הוצאה בפועל
Address,כתובת
Affected Structures,מבנים מושפעים
Age,גיל
Agreement,הסכם
Agreement Milestone,אבן דרך בהסכם
Agreement Stage,שלב הסכם
Agreement Title,כותרת הסכם
Agreement Type,סוג הסכם
Agreement Version,גרסת הסכם
Agreement {0} already exists for Arrangement File {1}.,הסכם {0} כבר קיים עבור תיק הסדרה {1}.
Allocatable Total Cost,עלות כוללת ניתנת להקצאה
Allocated Cost,עלות מוקצית
Allocated Dev Cost,עלות פיתוח מוקצית
Allocation updated. Price/m²: {0},הקצאה עודכנה. מחיר למ"ר: {0}
Amended From,תוקן מ
Approval Date,תאריך אישור
Approval Status,סטטוס אישור
Approve,אישור
Approve Finance,אישור פיננסי
Approve Mapping,אישור מיפוי
Approved Allocatable Cost,עלות מוקצית מאושרת
Approved Fixture Total,סה"כ מתקן מאושר
Approved by Finance,מאושר על ידי כספים
Approved by Mapping,מאושר על ידי מיפוי
Apps,אפליקציות
Are you sure you want to delete Fixture Compensation {0}?,האם אתה בטוח שברצונך למחוק פיצוי מתקן {0}?
Area (sqm),שטח (מ"ר)
Area Manager,מנהל אזור
Arrangement,הסדרה
Arrangement Data,נתוני הסדרה
Arrangement Editor,עורך הסדרה
Arrangement File,תיק הסדרה
Arrangement File Number,מספר תיק הסדרה
Arrangement File Type,סוג תיק הסדרה
Arrangement File {0} status updated to Signed (נחתם) based on Agreement {1}.,סטטוס תיק הסדרה {0} עודכן לחתום (נחתם) על בסיס הסכם {1}.
Arrangement Files Overview,סקירת תיקי הסדרה
Arrangement Pipeline,פייפליין הסדרה
Arrangement Stage,שלב הסדרה
Arrangement Status,סטטוס הסדרה
Assigned Arrangement File,תיק הסדרה מוקצה
Assigned Lot,חלקה מוקצית
Attached Order,צו מצורף
Cahnge To Background A,החלפה לרקע א'
Cahnge To Background B,החלפה לרקע ב'
Calculation Date,תאריך חישוב
Calculation Source,מקור חישוב
Call failed,קריאה נכשלה
Canceled,מבוטל
Category,קטגוריה
Change Date,תאריך שינוי
Change To Background A,החלפה לרקע א'
Change To Background B,החלפה לרקע ב'
Chargeable,ניתן לחיוב
Chargeable Area (sqm),שטח חיובי (מ"ר)
Cluster,צביר
Cluster Name,שם צביר
Cluster Name changed. Fetch the new geometry?,שם הצביר השתנה. לטעון את הגיאומטריה החדשה?
Cluster Priority,עדיפות צביר
Cluster Status,סטטוס צביר
Committee Approval,אישור ועדה
Committee Name,שם ועדה
Committee Status,סטטוס ועדה
Company ID,ח.פ./ע.מ.
Company Name,שם חברה
Compensation Amount,סכום פיצוי
Completion Date,תאריך השלמה
Contact Name,שם איש קשר
Contractor,קבלן
Contractor Company,חברת קבלן
Contractor Contact,איש קשר קבלן
Contractor Contact must belong to the selected contractor.,איש קשר הקבלן חייב להשתייך לקבלן הנבחר.
Contractor Type,סוג קבלן
Coordinator,רכז
Cost Allocation,הקצאת עלויות
Costs,עלויות
Created By,נוצר על ידי
Created On,נוצר בתאריך
Current Agreement Document,מסמך הסכם נוכחי
Current Version,גרסה נוכחית
Date,תאריך
Date Of Birth,תאריך לידה
Date of Birth,תאריך לידה
Decisions,החלטות
Delete Fixture Compensation,מחיקת פיצוי מתקן
Department,מחלקה
Department Name,שם מחלקה
Description,תיאור
Designation,ייעוד
Designation Name,שם ייעוד
Dev Price per sqm,מחיר פיתוח למ"ר
Development,פיתוח
Development Committee Review,בדיקת ועדת פיתוח
Development Cost Allocation,הקצאת עלויות פיתוח
Development Editor,עורך פיתוח
Development Items,פריטי פיתוח
Development Price History,היסטוריית מחירי פיתוח
Development Project,פרויקט פיתוח
Development Project Name,שם פרויקט פיתוח
Development Stage,שלב פיתוח
Development Status,סטטוס פיתוח
Document Details,פרטי מסמך
Document File,קובץ מסמך
Due Date,תאריך יעד
Earthworks,עבודות עפר
Effective Date,תאריך תחילה
Electricity,חשמל
Eligible for Compensation,זכאי לפיצוי
Email,אימייל
Employee,עובד
Employee ID,מס' עובד
Employee Name,שם עובד
End Date,תאריך סיום
Enforcement Authority,רשות אכיפה
Enforcement Order,צו אכיפה
Enforcement Order Structure,מבנה צו אכיפה
Enter Order ID before fetching geometry.,הזן מזהה צו לפני טעינת גיאומטריה.
Errors:,שגיאות:
Established Date,תאריך הקמה
Estimate Cost,עלות משוערת
Evacuee,מפונה
Evacuee A,מפונה א'
Evacuee B,מפונה ב'
Evacuee Type,סוג מפונה
Execution Date,תאריך ביצוע
Existed Before 2000,היה קיים לפני 2000
Failed to fetch geometry from GIS,נכשל בטעינת גיאומטריה ממערכת מידע גיאוגרפית
Failed to fetch geometry from GIS.,נכשל בטעינת גיאומטריה ממערכת מידע גיאוגרפית.
Family Status,מצב משפחתי
Fetch Geometry from GIS,טעינת גיאומטריה ממערכת מידע גיאוגרפית
Fetched geometry could not be rendered.,לא ניתן היה להציג את הגיאומטריה שנטענה.
Fetching geometry from GIS...,טוען גיאומטריה ממערכת מידע גיאוגרפית...
Final,סופי
Finance Viewer,צופה כספים
Financial Data,נתונים פיננסיים
First Name,שם פרטי
Fixture Compensation,פיצוי מחובר
Fixture Compensation Summary,סיכום פיצוי מחובר
Fixture Compensation {0} deleted.,פיצוי מחובר {0} נמחק.
Fixture Distribution by File,חלוקת מחוברים לפי תיק
Fixture Shares,יחס המחובר
Fixture Type,סוג מחובר
Fixtures Pending Approval,מתקנים בהמתנה לאישור
Frappe Support,תמיכת Frappe
Full Name,שם מלא
GIS Actions,פעולות ממ"ג
GIS Healthcheck,בדיקת תקינות ממ"ג
GIS Operator,מפעיל ממ"ג
Gender,מין
Geometry too large; consider narrowing the filter or simplifying,גיאומטריה גדולה מדי; שקול לצמצם את המסנן או לפשט
Geometry too large; consider simplifying or reducing precision,גיאומטריה גדולה מדי; שקול לפשט או להפחית דיוק
Geometry updated.,גיאומטריה עודכנה.
HR Manager,מנהל משאבי אנוש
ID Number,מספר זהות
Implementation Milestones,אבני דרך יישום
InExecution,בביצוע
InProgress,בעבודה
InTender,במכרז
Invalid GeoJSON data received from GIS,התקבלו נתוני GeoJSON לא תקינים ממערכת מידע גיאוגרפית
Issue Date,תאריך הפקה
Item Description,תיאור פריט
Item Name,שם פריט
Item Status,סטטוס פריט
Land Designation,ייעוד קרקע
Landline Phone,טלפון קווי
Landscaping,עיצוב נוף
Last Name,שם משפחה
Legal Owner,בעלים משפטי
Lighting,תאורה
Link Fixture,קישור למחובר
Link Fixtures,קישור למחוברים
Location,מיקום
Lock Price,נעילת מחיר
Locked,נעול
Log out,התנתקות
Lot,מגרש
Lot Arrangement Stage,שלב הסדרת מגרש
Lot Development Status,סטטוס פיתוח מגרש
Lot ID,מזהה מגרש
Lot ID changed. Fetch the new geometry?,מזהה מגרש השתנה. לטעון את הגיאומטריה החדשה?
Lot Number,מספר חלקה
Lot Price,מחיר חלקה
Lot {0} is already assigned to Arrangement File {1}.,מגרש {0} כבר מוקצה לתיק הסדרה {1}.
Lot {0} was previously assigned to cancelled Arrangement File(s): {1}.,מגרש {0} הוקצה בעבר לתיק/י הסדרה מבוטל/ים: {1}.
Lots Summary,סיכום חלקות
Main Email,אימייל ראשי
Main Land Designation,ייעוד קרקע עיקרי
Main Phone,טלפון ראשי
Management Viewer,צופה ניהול
ManualAdjustment,התאמה ידנית
Milestone,אבן דרך
Milestones,אבני דרך
Mobile Phone,טלפון נייד
My Profile,הפרופיל שלי
My Settings,ההגדרות שלי
Negotiation Coordinator,רכז משא ומתן
No geometry found for {0}={1},לא נמצאה גיאומטריה עבור {0}={1}
No geometry found in GIS for {0} using {1}{2},לא נמצאה גיאומטריה במערכת מידע גיאוגרפית עבור {0} באמצעות {1}{2}
No geometry loaded. Click "Fetch Geometry from GIS" to load.,לא נטענה גיאומטריה. לחץ על "טעינת גיאומטריה ממערכת מידע גיאוגרפית" לטעינה.
No linked Fixture Compensation found.,לא נמצא פיצוי מתקן מקושר.
NotStarted,לא התחיל
Note,הערה
Notes,הערות
OnHold,בהמתנה
Open Map (tileserv),פתיחת מפה (tileserv)
Order ID,מזהה צו
Order ID is required,מזהה צו נדרש
Owner,בעלים
Pending Finance,בהמתנה לכספים
Pending Fixture Total,סה"כ מתקן בהמתנה
Pending Mapping,בהמתנה למיפוי
Phone,טלפון
Plan,תוכנית
Plan Name,שם תוכנית
Plan Number,מספר תוכנית
Plan Number changed. Fetch the new geometry from GIS?,מספר תוכנית השתנה. לטעון את הגיאומטריה החדשה ממערכת מידע גיאוגרפית?
Plan Number is required before fetching geometry.,מספר תוכנית נדרש לפני טעינת גיאומטריה.
Plan Status,סטטוס תוכנית
Planned,מתוכנן
Planned Cost,עלות מתוכננת
Planning,תכנון
Planning Committee,ועדת תכנון
Planning Editor,עורך תכנון
Planning Zone,אזור תכנון
Planning Zone Name,שם אזור תכנון
Please save your changes before fetching geometry.,אנא שמור את השינויים לפני טעינת גיאומטריה.
Position,תפקיד
Price History,היסטוריית מחירים
Price Lock Date,תאריך נעילת מחיר
Price Lock Reason,סיבת נעילת מחיר
Price Locked,מחיר נעול
Price per sqm,מחיר למ"ר
Primary Contact,איש קשר ראשי
Primary Contact must belong to this contractor.,איש קשר ראשי חייב להשתייך לקבלן זה.
Progress Percent,אחוז התקדמות
PublicRealm,מרחב ציבורי
Quantity,כמות
Reason for Opening,סיבת פתיחה
Reason for Opening Note,הערת סיבת פתיחה
Recalculate Allocation,חישוב הקצאה מחדר
Region,אזור
Region Manager,מנהל אזור
Region Name,שם אזור
Reject,דחייה
Related Development Project,פרויקט פיתוח קשור
Request Revisions,בקשת תיקונים
Resubmit,הגשה מחדש
Review Date,תאריך סקירה
RevisionsRequired,נדרשים תיקונים
Roads,כבישים
Role,תפקיד
Save the Plan before fetching geometry from GIS.,שמור את התוכנית לפני טעינת גיאומטריה ממערכת מידע גיאוגרפית.
Save the document before fetching geometry.,שמור את המסמך לפני טעינת גיאומטריה.
Save the document to enable GIS actions.,שמור את המסמך להפעלת פעולות מערכת מידע גיאוגרפית.
Sector,מגזר
Sector Name,שם מגזר
Select a contractor before choosing a contractor contact.,בחר קבלן לפני בחירת איש קשר קבלן.
Set Plan Number to enable GIS lookup.,הגדר מספר תוכנית להפעלת חיפוש במערכת מידע גיאוגרפית.
Settlement Committee,ועדת פשרה
Settlement Committee Details,פרטי ועדת פשרה
Sewer,ביוב
Share Percentage,אחוז חלק
Shared Amount,סכום משותף
Shared Between Files,משותף בין תיקים
Sidewalks,מדרכות
Signature Date,תאריך חתימה
Stage,שלב
Stage Name,שם שלב
Stage Progress Update,עדכון התקדמות שלב
Stage Status,סטטוס שלב
StageA,שלב א'
StageB,שלב ב'
Start Date,תאריך התחלה
Status,סטטוס
Status Change,שינוי סטטוס
Statutory data,נתונים סטטוטוריים
Structure Identifier,מזהה מבנה
Structure Name,שם מבנה
Structures,מבנים
Submit to Mapping,הגשה למיפוי
Summary,סיכום
Sync All Geometries,סנכרון כל הגיאומטריות
